LONGITUDE,LATITUDE,res,faults,dem,mag,grav,geol,deposit
135.7735258,-32.6227644,3.2678,0.8238276762722635,178.22666931152344,-171.7223358154297,-17.080812454223633,Cleve Domain,1
138.3278394,-32.442493400000004,2.1163,0.035482354848661996,358.910400390625,-194.78550720214844,-34.167701721191406,Crustal element Adelaide,1
138.1351484,-32.7785594,2.1838,0.03863811901786184,623.8302612304688,-162.5712127685547,-37.83991241455078,Olympic Domain,1
136.6287977,-32.8150504,2.6956,0.7774247398186892,227.2036590576172,929.2113647460938,-13.173633575439453,Cleve Domain,1
136.6097097,-32.7099534,2.8815,0.8654744382996091,236.43466186523438,-453.5001525878906,-10.373406410217285,Cleve Domain,1
136.6205707,-32.8197454,2.6956,0.7695835234473735,233.20779418945312,-985.5855712890625,-14.536371231079102,Cleve Domain,1
135.8042918,-32.6420914,2.6277,0.8034642546139633,190.2288818359375,-274.4385681152344,-16.729951858520508,Cleve Domain,1
138.5005194,-32.3078914,2.12,0.015052719052803308,399.0659484863281,-256.9679870605469,-28.571422576904297,Crustal element Adelaide,1
136.6185257,-32.8552294,2.7233,0.736912673675181,235.00732421875,-457.80133056640625,-20.00031852722168,Cleve Domain,1
139.3517363,-32.6492035,2.3824,0.06361654890886317,326.9106750488281,-68.45059967041016,-15.242586135864258,Crustal element Adelaide,1
139.0887943,-32.8026655,2.3037,0.010902822349853373,480.13616943359375,-143.15968322753906,-9.074629783630371,Crustal element Adelaide,1
139.8744572,-32.6501995,2.1846,0.1785276715664739,331.3611145019531,-224.74937438964844,-16.71137046813965,Crustal element Adelaide,1
139.1667603,-32.9088425,2.5271,0.07539682230227956,482.93182373046875,-198.04702758789062,-10.102113723754883,Crustal element Adelaide,1
135.8152818,-32.6537764,2.6277,0.7916846515375368,164.13107299804688,-176.08261108398438,-9.242633819580078,Cleve Domain,1
139.5926052,-32.6574125,2.1438,0.1360959686202897,302.90350341796875,-220.0015411376953,-14.7435302734375,Crustal element Adelaide,1
139.8611232,-32.6590995,2.1846,0.16261668511334515,317.4107666015625,-220.59707641601562,-16.588743209838867,Crustal element Adelaide,1
